restart,iteration,operator,current_cost,restart_best_cost,global_best_cost,temperature,pack_types_current,pack_types_best,shortage_units_best,overstock_units_best,elapsed_seconds
1,1,reallocate,650210,650129,648276,5000,488,488,0,0,0.104016
1,250,merge_packs,381969,381969,381969,4414.55,509,508,0,5768,5.57523
1,500,remove_pack,319673,313894,313509,3895.71,499,500,0,10658,11.1755
1,750,remove_pack,310100,309341,293464,3437.84,507,508,0,13859,15.8922
1,1000,mutate_pack_content,302489,302440,292386,3033.79,500,500,0,16201,21.0683
1,1250,mutate_pack_content,307222,297086,292386,2677.23,512,501,0,18859,25.4071
1,1500,mutate_pack_content,313406,297086,292386,2362.57,528,501,0,18859,29.5685
1,1750,mutate_pack_content,320335,297086,292386,2084.9,523,501,0,18859,33.7875
1,2000,merge_packs,325265,297086,292386,1839.86,510,501,0,18859,37.7755
1,2250,add_curve_pack,326136,297086,292386,1623.62,515,501,0,18859,41.7387
1,2500,mutate_pack_content,318184,297086,292386,1432.79,511,501,0,18859,45.6219
1,2750,remove_pack,311261,297086,292386,1264.4,503,501,0,18859,49.574
1,3000,remove_pack,310627,297086,292386,1115.79,495,501,0,18859,53.2504
1,3250,mutate_pack_content,302236,297086,292386,984.651,499,501,0,18859,57.3311
1,3500,reallocate,305558,297086,292386,868.924,497,501,0,18859,61.4352
1,3750,mutate_pack_content,299911,297086,292386,766.799,489,501,0,18859,65.3601
1,4000,reallocate,295114,294670,292386,676.676,491,491,0,23186,69.3267
1,4250,mutate_pack_content,290215,290215,290215,597.146,474,474,0,22510,73.3386
1,4500,mutate_pack_content,284447,283284,283284,526.963,461,462,0,21884,77.0848
1,4750,reallocate,284406,282356,282356,465.029,456,457,0,21800,80.958
1,5000,reallocate,284375,282356,282356,410.374,448,457,0,21800,84.5214
1,5250,mutate_pack_content,283857,282356,282356,362.142,448,457,0,21800,88.1766
1,5500,mutate_pack_content,279924,279907,279907,319.579,439,439,0,21884,91.8126
1,5750,mutate_pack_content,276492,276193,276193,282.019,436,437,0,21441,95.4216
1,6000,remove_pack,276185,275330,275330,248.873,431,432,0,21580,99.1306
1,6250,mutate_pack_content,271027,271027,271027,219.623,427,427,0,21113,102.944
1,6500,mutate_pack_content,266326,266207,266207,193.81,427,427,0,20865,106.713
1,6750,mutate_pack_content,262339,261991,261991,171.032,426,426,0,20605,110.343
1,7000,mutate_pack_content,258339,258041,258041,150.93,424,424,0,20486,113.845
1,7250,mutate_pack_content,254060,253810,253810,133.191,424,424,0,20055,117.544
1,7500,mutate_pack_content,251635,251491,251491,117.537,425,425,0,19859,121.217
1,7750,mutate_pack_content,248381,248290,248290,103.723,425,425,0,19493,124.539
1,8000,mutate_pack_content,246202,246202,246202,91.5324,425,425,0,19196,128.192
1,8250,mutate_pack_content,242034,241995,241995,80.7745,425,425,0,18871,131.693
1,8500,mutate_pack_content,239544,239387,239387,71.281,425,425,0,18409,135.705
1,8750,mutate_pack_content,237186,237143,237143,62.9033,425,425,0,18159,139.242
1,9000,mutate_pack_content,234078,233914,233914,55.5103,425,425,0,17934,142.986
1,9250,mutate_pack_content,231398,231250,231250,48.9861,425,425,0,17693,146.58
1,9500,mutate_pack_content,229932,229926,229926,43.2287,425,425,0,17744,150.219
1,9750,mutate_pack_content,226883,226851,226851,38.148,425,425,0,17288,153.791
1,10000,mutate_pack_content,221777,221777,221777,33.6645,425,425,0,16776,157.814
1,10250,mutate_pack_content,219424,219308,219308,29.7079,425,425,0,16378,161.638
1,10500,mutate_pack_content,214418,214418,214418,26.2163,425,425,0,16087,165.372
1,10750,mutate_pack_content,212715,212693,212693,23.1351,425,425,0,15943,169.045
1,11000,mutate_pack_content,209769,209725,209725,20.416,425,425,0,15586,172.55
1,11250,mutate_pack_content,207576,207576,207576,18.0165,425,425,0,15398,176.256
1,11500,mutate_pack_content,205604,205604,205604,15.899,425,425,0,15102,179.745
1,11750,mutate_pack_content,203418,203418,203418,14.0304,425,425,0,14896,183.523
1,12000,mutate_pack_content,202420,202420,202420,12.3814,425,425,0,14790,187.562
1,12250,mutate_pack_content,201415,201415,201415,10.9262,425,425,0,14722,190.927
1,12500,mutate_pack_content,200295,200295,200295,9.64202,425,425,0,14583,194.47
1,12750,mutate_pack_content,198791,198791,198791,8.50878,425,425,0,14391,198.181
1,13000,mutate_pack_content,197797,197785,197785,7.50874,425,425,0,14268,201.863
1,13250,mutate_pack_content,196225,196225,196225,6.62623,425,425,0,14142,205.484
1,13500,mutate_pack_content,195160,195160,195160,5.84745,425,425,0,14020,208.986
1,13750,mutate_pack_content,194017,194017,194017,5.16019,425,425,0,13913,212.863
1,14000,mutate_pack_content,193369,193366,193366,4.55371,425,425,0,13883,216.628
1,14250,mutate_pack_content,192328,192320,192320,4.01851,425,425,0,13715,220.239
1,14500,mutate_pack_content,191761,191761,191761,3.54621,425,425,0,13610,224.009
1,14750,mutate_pack_content,190837,190837,190837,3.12942,425,425,0,13534,228.083
1,15000,mutate_pack_content,189974,189974,189974,2.76162,425,425,0,13399,231.909
1,15250,mutate_pack_content,189372,189372,189372,2.43705,425,425,0,13334,235.942
1,15500,mutate_pack_content,188725,188725,188725,2.15062,425,425,0,13257,239.865
1,15750,mutate_pack_content,188315,188315,188315,1.89785,425,425,0,13191,243.742
1,16000,mutate_pack_content,187772,187771,187771,1.6748,425,425,0,13128,247.775
1,16250,mutate_pack_content,186764,186764,186764,1.47796,425,425,0,13026,251.745
1,16500,mutate_pack_content,186045,186045,186045,1.30425,425,425,0,12972,255.765
1,16750,mutate_pack_content,184763,184763,184763,1.15096,425,425,0,12874,260.047
1,17000,mutate_pack_content,184074,184074,184074,1.01569,425,425,0,12809,263.783
1,17250,mutate_pack_content,183615,183615,183615,0.896315,425,425,0,12766,267.602
1,17500,mutate_pack_content,183041,183041,183041,0.79097,425,425,0,12702,271.567
1,17750,mutate_pack_content,182334,182334,182334,0.698007,425,425,0,12621,276.192
1,18000,mutate_pack_content,181656,181656,181656,0.61597,425,425,0,12548,280.42
1,18250,mutate_pack_content,180850,180850,180850,0.543574,425,425,0,12445,284.348
1,18500,mutate_pack_content,180792,180792,180792,0.479688,425,425,0,12431,288.189
1,18750,mutate_pack_content,180217,180217,180217,0.42331,425,425,0,12371,292.028
1,19000,mutate_pack_content,179800,179800,179800,0.373558,425,425,0,12299,296.166
1,19250,mutate_pack_content,179380,179380,179380,0.329653,425,425,0,12250,300.163
1,19500,mutate_pack_content,178893,178893,178893,0.290909,425,425,0,12188,304.282
1,19750,mutate_pack_content,178670,178670,178670,0.256718,425,425,0,12169,307.903
1,20000,mutate_pack_content,178274,178274,178274,0.226546,425,425,0,12130,311.436
2,1,merge_packs,647892,647892,647892,5000,490,490,0,26,0.122296
2,250,split_pack,438680,438469,376729,4414.55,511,510,0,3689,6.3142
2,500,reallocate,353556,353326,305565,3895.71,546,546,0,14084,12.0104
2,750,mutate_pack_content,347182,342234,292386,3437.84,571,564,0,16760,17.9257
2,1000,mutate_pack_content,352839,339025,292386,3033.79,590,576,0,19139,23.748
2,1250,mutate_pack_content,354442,339025,292386,2677.23,600,576,0,19139,28.7431
2,1500,remove_pack,353798,339025,292386,2362.57,626,576,0,19139,33.5744
2,1750,mutate_pack_content,363393,339025,292386,2084.9,649,576,0,19139,38.2448
2,2000,mutate_pack_content,355111,339025,292386,1839.86,687,576,0,19139,42.8316
2,2250,mutate_pack_content,350520,339025,292386,1623.62,705,576,0,19139,47.7687
2,2500,mutate_pack_content,344190,339025,292386,1432.79,731,576,0,19139,52.6501
2,2750,reallocate,345706,339025,292386,1264.4,754,576,0,19139,57.2819
2,3000,reallocate,342913,339025,292386,1115.79,774,576,0,19139,62.0617
2,3250,reallocate,338554,337666,292386,984.651,792,784,0,25025,66.7846
2,3500,mutate_pack_content,334969,334969,291577,868.924,802,802,0,24860,71.7606
2,3750,mutate_pack_content,332256,331741,283801,766.799,828,829,0,24710,76.7223
2,4000,mutate_pack_content,331352,331241,282356,676.676,843,841,0,24561,81.9873
2,4250,reallocate,334795,331119,282356,597.146,860,848,0,24645,86.9945
2,4500,merge_packs,332464,331119,279391,526.963,878,848,0,24645,92.092
2,4750,merge_packs,330839,330677,275606,465.029,886,885,0,25091,97.3931
2,5000,reallocate,325481,325481,270987,410.374,898,898,0,24843,102.993
2,5250,reallocate,321162,321075,263829,362.142,904,903,0,24470,108.176
2,5500,mutate_pack_content,315633,315527,258103,319.579,907,907,0,24010,113.543
2,5750,mutate_pack_content,313942,313753,252685,282.019,914,914,0,23988,118.776
2,6000,mutate_pack_content,314584,312817,248650,248.873,916,915,0,23956,123.713
2,6250,mutate_pack_content,310934,310934,244880,219.623,916,916,0,23649,128.435
2,6500,mutate_pack_content,308125,308079,240831,193.81,915,915,0,23479,133.445
2,6750,mutate_pack_content,305186,304780,238148,171.032,915,915,0,23105,138.584
2,7000,mutate_pack_content,303272,303272,232179,150.93,915,915,0,23041,144.285
2,7250,mutate_pack_content,299219,299120,230165,133.191,915,915,0,22431,149.367
2,7500,mutate_pack_content,296997,296815,225934,117.537,915,915,0,22375,154.603
2,7750,mutate_pack_content,296787,296631,220428,103.723,915,915,0,22438,159.869
2,8000,mutate_pack_content,294134,294134,214418,91.5324,915,915,0,22222,165.386
2,8250,mutate_pack_content,289625,289611,210280,80.7745,915,915,0,21588,170.652
2,8500,mutate_pack_content,286167,286108,207722,71.281,915,915,0,21332,175.858
2,8750,mutate_pack_content,281954,281954,204995,62.9033,915,915,0,21041,181.185
2,9000,mutate_pack_content,277075,277075,202820,55.5103,915,915,0,20555,186.712
2,9250,mutate_pack_content,274449,274449,201140,48.9861,915,915,0,20232,191.78
2,9500,mutate_pack_content,272489,272232,199390,43.2287,915,915,0,20053,196.892
2,9750,mutate_pack_content,270342,270342,197600,38.148,915,915,0,19770,202.475
2,10000,mutate_pack_content,267838,267797,195487,33.6645,915,915,0,19497,207.707
2,10250,mutate_pack_content,265939,265862,193941,29.7079,915,915,0,19317,213.513
2,10500,mutate_pack_content,261914,261914,192666,26.2163,915,915,0,19039,219.04
2,10750,mutate_pack_content,259408,259408,191635,23.1351,915,915,0,18828,224.991
2,11000,mutate_pack_content,257651,257637,190126,20.416,915,915,0,18694,230.828
2,11250,mutate_pack_content,255333,255333,189186,18.0165,915,915,0,18448,236.475
2,11500,mutate_pack_content,251252,251252,188429,15.899,915,915,0,18091,242.126
2,11750,mutate_pack_content,249647,249637,187771,14.0304,915,915,0,17845,248.24
2,12000,mutate_pack_content,248090,248086,186510,12.3814,915,915,0,17705,253.916
2,12250,mutate_pack_content,245762,245762,184706,10.9262,915,915,0,17518,260.261
2,12500,mutate_pack_content,244465,244465,184014,9.64202,915,915,0,17411,265.55
2,12750,mutate_pack_content,242958,242958,183041,8.50878,915,915,0,17313,271.665
2,13000,mutate_pack_content,241943,241943,181929,7.50874,915,915,0,17221,278.287
2,13250,mutate_pack_content,241038,241038,180850,6.62623,915,915,0,17067,283.99
2,13500,mutate_pack_content,239652,239652,180519,5.84745,915,915,0,16909,289.433
2,13750,mutate_pack_content,238039,238039,179908,5.16019,915,915,0,16723,295.267
2,14000,mutate_pack_content,237095,237095,179117,4.55371,915,915,0,16595,301.354
2,14250,mutate_pack_content,235779,235773,178767,4.01851,915,915,0,16435,306.903
2,14500,mutate_pack_content,234383,234383,178274,3.54621,915,915,0,16268,312.271
2,14750,mutate_pack_content,232591,232591,178274,3.12942,915,915,0,16075,317.44
2,15000,mutate_pack_content,231757,231757,178274,2.76162,915,915,0,15961,323.101
2,15250,mutate_pack_content,230520,230516,178274,2.43705,915,915,0,15841,328.44
2,15500,mutate_pack_content,229637,229637,178274,2.15062,915,915,0,15726,333.872
2,15750,mutate_pack_content,228972,228972,178274,1.89785,915,915,0,15646,339.408
2,16000,mutate_pack_content,228469,228469,178274,1.6748,915,915,0,15599,344.66
2,16250,mutate_pack_content,226636,226636,178274,1.47796,915,915,0,15398,349.924
2,16500,mutate_pack_content,226165,226165,178274,1.30425,915,915,0,15315,355.152
2,16750,mutate_pack_content,224765,224765,178274,1.15096,915,915,0,15199,360.395
2,17000,mutate_pack_content,224067,224067,178274,1.01569,915,915,0,15116,365.549
2,17250,mutate_pack_content,222355,222355,178274,0.896315,915,915,0,14925,370.717
2,17500,mutate_pack_content,221616,221616,178274,0.79097,915,915,0,14796,375.873
2,17750,mutate_pack_content,220757,220757,178274,0.698007,915,915,0,14730,381.023
2,18000,mutate_pack_content,220307,220307,178274,0.61597,915,915,0,14650,385.971
2,18250,mutate_pack_content,219392,219392,178274,0.543574,915,915,0,14554,391.072
2,18500,mutate_pack_content,218888,218888,178274,0.479688,915,915,0,14494,395.975
2,18750,mutate_pack_content,217981,217981,178274,0.42331,915,915,0,14362,400.798
2,19000,mutate_pack_content,217538,217538,178274,0.373558,915,915,0,14293,405.613
2,19250,mutate_pack_content,216560,216560,178274,0.329653,915,915,0,14154,410.016
2,19500,mutate_pack_content,216207,216207,178274,0.290909,915,915,0,14103,413.832
2,19750,mutate_pack_content,215582,215582,178274,0.256718,915,915,0,14045,417.557
2,20000,mutate_pack_content,214475,214475,178274,0.226546,915,915,0,13942,421.303
3,1,reallocate,650164,650129,648276,5000,497,497,0,0,0.115035
3,250,mutate_pack_content,552715,552283,381606,4414.55,518,517,0,2600,5.64777
3,500,mutate_pack_content,382085,381386,305565,3895.71,528,527,0,8339,12.1299
3,750,mutate_pack_content,353857,352863,292386,3437.84,528,528,0,11804,18.3419
3,1000,reallocate,341531,341018,292386,3033.79,530,530,0,15418,24.4219
3,1250,reallocate,338949,337869,292386,2677.23,530,530,0,17871,29.4784
3,1500,merge_packs,339156,336264,292386,2362.57,526,530,0,18840,35.0136
3,1750,reallocate,338463,335541,292386,2084.9,527,526,0,19170,40.0316
3,2000,reallocate,337594,334894,292386,1839.86,530,529,0,20214,44.6375
3,2250,reallocate,332052,328925,292386,1623.62,529,530,0,20073,49.7295
3,2500,reallocate,329743,328925,292386,1432.79,530,530,0,20073,54.603
3,2750,reallocate,326043,325782,292386,1264.4,530,529,0,20941,59.3444
3,3000,reallocate,330737,325782,292386,1115.79,529,529,0,20941,64.0456
3,3250,mutate_pack_content,334468,325782,292386,984.651,527,529,0,20941,68.8432
3,3500,reallocate,328520,325782,290115,868.924,525,529,0,20941,73.4506
3,3750,reallocate,326360,325782,282533,766.799,525,529,0,20941,78.6493
3,4000,reallocate,320966,320641,282356,676.676,527,527,0,22327,83.611
3,4250,reallocate,319847,318584,282356,597.146,527,527,0,22206,88.0648
3,4500,reallocate,316519,316315,278540,526.963,526,526,0,22168,92.8172
3,4750,reallocate,314898,314898,275606,465.029,525,525,0,22455,97.5232
3,5000,reallocate,316721,313974,272855,410.374,526,526,0,22281,102.569
3,5250,reallocate,313925,313636,265980,362.142,527,527,0,22506,106.961
3,5500,reallocate,312208,311874,261649,319.579,527,527,0,22254,111.633
3,5750,reallocate,311078,310636,256572,282.019,527,527,0,22114,116.23
3,6000,reallocate,312153,310636,251491,248.873,527,527,0,22114,120.889
3,6250,reallocate,309993,309689,248290,219.623,527,527,0,21907,125.745
3,6500,reallocate,308175,307185,243688,193.81,527,527,0,21659,130.62
3,6750,reallocate,306297,306271,239983,171.032,527,527,0,21952,135.056
3,7000,reallocate,302922,302922,236295,150.93,527,527,0,21535,140.089
3,7250,reallocate,301285,301239,231730,133.191,527,527,0,21253,144.958
3,7500,reallocate,299876,299520,230165,117.537,527,527,0,21280,149.9
3,7750,reallocate,295408,295408,225899,103.723,527,527,0,21119,155.172
3,8000,reallocate,292013,291973,220323,91.5324,527,527,0,20849,160.158
3,8250,reallocate,291922,291327,214582,80.7745,527,527,0,20789,165.274
3,8500,reallocate,290307,290122,210280,71.281,527,527,0,20590,170.367
3,8750,reallocate,288342,288172,208100,62.9033,527,527,0,20496,175.268
3,9000,reallocate,286770,286770,205523,55.5103,527,527,0,20313,180.12
3,9250,reallocate,285734,285681,203158,48.9861,527,527,0,20296,185.299
3,9500,reallocate,284667,284667,201491,43.2287,527,527,0,20112,190.293
3,9750,reallocate,281786,281781,199837,38.148,527,527,0,19967,195.523
3,10000,reallocate,279558,279558,197917,33.6645,527,527,0,19776,200.295
3,10250,reallocate,278041,278041,196270,29.7079,527,527,0,19657,205.124
3,10500,reallocate,276608,276608,194958,26.2163,527,527,0,19413,210.354
3,10750,reallocate,274789,274789,193419,23.1351,527,527,0,19359,215.573
3,11000,reallocate,274203,274200,192296,20.416,527,527,0,19257,220.293
3,11250,reallocate,273255,273255,191395,18.0165,527,527,0,19252,225.92
3,11500,reallocate,272134,272071,190081,15.899,527,527,0,19081,231.365
3,11750,reallocate,269911,269911,189001,14.0304,527,527,0,18910,236.906
3,12000,reallocate,268740,268740,188385,12.3814,527,527,0,18768,242.259
3,12250,reallocate,267243,267243,187771,10.9262,527,527,0,18772,248.021
3,12500,reallocate,266697,266665,186568,9.64202,527,527,0,18731,253.444
3,12750,reallocate,265602,265602,184849,8.50878,527,527,0,18667,259.414
3,13000,reallocate,264562,264559,184028,7.50874,527,527,0,18540,264.987
3,13250,reallocate,263881,263881,183093,6.62623,527,527,0,18417,270.524
3,13500,reallocate,262906,262906,182214,5.84745,527,527,0,18326,276.696
3,13750,reallocate,262162,262162,181113,5.16019,527,527,0,18235,282.615
3,14000,reallocate,261221,261221,180792,4.55371,527,527,0,18160,287.963
3,14250,reallocate,259997,259997,180148,4.01851,527,527,0,18038,293.477
3,14500,reallocate,259100,259100,179411,3.54621,527,527,0,17931,299.689
3,14750,reallocate,258328,258328,178893,3.12942,527,527,0,17851,305.075
3,15000,reallocate,257286,257286,178335,2.76162,527,527,0,17750,310.394
3,15250,reallocate,256864,256864,178274,2.43705,527,527,0,17661,315.529
3,15500,reallocate,256460,256460,178274,2.15062,527,527,0,17611,320.821
3,15750,reallocate,256194,256194,178274,1.89785,527,527,0,17639,325.962
3,16000,reallocate,255948,255948,178274,1.6748,527,527,0,17592,331.117
3,16250,reallocate,255431,255431,178274,1.47796,527,527,0,17567,336.129
3,16500,reallocate,254806,254806,178274,1.30425,527,527,0,17509,341.017
3,16750,reallocate,254378,254378,178274,1.15096,527,527,0,17426,345.887
3,17000,reallocate,254172,254172,178274,1.01569,527,527,0,17410,351.031
3,17250,reallocate,253964,253964,178274,0.896315,527,527,0,17392,356.001
3,17500,reallocate,253712,253712,178274,0.79097,527,527,0,17362,360.958
3,17750,reallocate,253330,253330,178274,0.698007,527,527,0,17308,366.064
3,18000,reallocate,252709,252709,178274,0.61597,527,527,0,17240,370.733
3,18250,reallocate,252287,252287,178274,0.543574,527,527,0,17194,375.673
3,18500,reallocate,252036,252036,178274,0.479688,527,527,0,17156,380.277
3,18750,reallocate,251465,251465,178274,0.42331,527,527,0,17114,385.237
3,19000,reallocate,251119,251119,178274,0.373558,527,527,0,17030,390.074
3,19250,reallocate,250507,250507,178274,0.329653,527,527,0,16959,395.117
3,19500,reallocate,249757,249757,178274,0.290909,527,527,0,16892,399.758
3,19750,reallocate,249283,249283,178274,0.256718,527,527,0,16861,404.703
3,20000,reallocate,249027,249027,178274,0.226546,527,527,0,16816,409.205
4,1,merge_packs,650129,650129,648276,5000,495,494,0,0,0.106833
4,250,reallocate,439008,439008,381606,4414.55,526,526,0,3301,5.72519
4,500,mutate_pack_content,358187,357781,306629,3895.71,543,542,0,9220,11.7929
4,750,reallocate,336020,335887,292386,3437.84,557,557,0,13910,18.5515
4,1000,reallocate,335810,335810,292386,3033.79,561,561,0,16625,24.4505
4,1250,reallocate,328527,328341,292386,2677.23,563,563,0,17819,30.037
4,1500,mutate_pack_content,329174,326691,292386,2362.57,563,564,0,18161,34.9932
4,1750,reallocate,332610,326691,292386,2084.9,563,564,0,18161,40.0065
4,2000,reallocate,330279,326691,292386,1839.86,564,564,0,18161,44.9787
4,2250,reallocate,327124,326350,292386,1623.62,565,565,0,21384,49.8903
4,2500,reallocate,325592,323410,292386,1432.79,563,563,0,21571,54.5961
4,2750,reallocate,321589,320967,292386,1264.4,562,562,0,22547,59.1318
4,3000,reallocate,324534,320967,292386,1115.79,564,562,0,22547,63.9332
4,3250,reallocate,325904,320967,292386,984.651,564,562,0,22547,68.479
4,3500,reallocate,325797,320967,291577,868.924,565,562,0,22547,72.6557
4,3750,reallocate,325803,320967,283284,766.799,565,562,0,22547,77.1458
4,4000,reallocate,324351,320967,282356,676.676,565,562,0,22547,81.6312
4,4250,reallocate,323751,320967,282356,597.146,564,562,0,22547,85.8967
4,4500,reallocate,324591,320763,280948,526.963,564,564,0,24876,90.4739
4,4750,reallocate,323610,320763,276193,465.029,565,564,0,24876,95.2003
4,5000,reallocate,323644,320763,275330,410.374,565,564,0,24876,99.6867
4,5250,reallocate,324202,320763,270030,362.142,565,564,0,24876,104.59
4,5500,reallocate,321666,320525,262917,319.579,565,565,0,25443,109.31
4,5750,reallocate,321054,320525,258041,282.019,567,565,0,25443,113.888
4,6000,reallocate,321069,320525,252685,248.873,568,565,0,25443,118.546
4,6250,reallocate,320580,320233,248772,219.623,568,568,0,25554,123.166
4,6500,reallocate,318772,317336,246907,193.81,568,568,0,25461,127.541
